net,length_um
_03794_,181.37
_05508_,181.12
_02362_,180.97
_06745_,180.88
_03793_,180.76
decoded_imm_j\[2\],180.45
_03952_,180.44
_05487_,179.86
_02184_,179.3
_02254_,179.3
_01643_,179.2
reg_pc\[22\],179.08
_02356_,178.92
_02546_,178.68
reg_pc\[17\],178.56
_04465_,178.06
_02405_,177.95
_02679_,177.875
_07447_,177.815
_01680_,177.66
net196,177.52
_02110_,177.12
_06493_,176.88
_03356_,176.67
_03580_,175.94
_02158_,175.41
_02382_,175.24
_03950_,174.78
_04148_,174.54
reg_pc\[2\],174.34
_03541_,173.01
_05644_,172.57
_06775_,172.14
_05241_,172.09
_02496_,171.82
_02605_,171.64
_03849_,171.21
_04574_,171.16
_06478_,169.92
reg_pc\[28\],169.82
_03464_,169.06
reg_pc\[19\],168.09
net4,167.96
_03649_,167.82
net242,167.64
reg_pc\[27\],167.56
_02249_,167.505
_05103_,166.7
_02269_,166.2
_02081_,165.96
_03441_,165.36
_05297_,165.34
_02134_,165.235
decoded_imm_j\[8\],165.16
reg_pc\[9\],165.04
_03456_,164.96
_02218_,164.76
reg_pc\[23\],164.04
_02435_,163.13
reg_pc\[21\],162.98
_01620_,162.58
is_sb_sh_sw,161.935
net26,161.22
_02245_,161.2
_02207_,161.085
decoded_imm_j\[6\],160.98
_02431_,160.97
_07282_,160.87
_03274_,160.76
_02844_,160.68
_03495_,160.62
reg_pc\[25\],159.33
_03847_,159.24
_03244_,158.16
_03222_,157.96
_04346_,157.2
_07348_,156.9
reg_pc\[5\],156.4
decoded_imm_j\[12\],156.35
decoded_imm_j\[15\],156.15
_02255_,155.935
_03432_,155.56
reg_pc\[3\],155.55
net241,154.6
reg_pc\[7\],154.3
decoded_imm_j\[1\],154.16
decoded_imm\[1\],154.03
_03587_,153.68
_07247_,153.65
_06343_,153.575
_06511_,153.34
_03474_,153.28
_03573_,153.2
_02149_,153.015
_04279_,152.94
decoded_imm_j\[14\],152.795
reg_pc\[29\],152.56
_07068_,152.04
_02039_,151.78
_06524_,151.7
reg_pc\[6\],150.82
_00012_,150.8
_07520_,149.7
_04667_,149.64
net49,149.48
latched_branch,149.17
_01899_,149.02
_01626_,148.8
_03921_,148.78
_03453_,148.6
_05583_,148.54
_02452_,148.5
_03475_,148.25
net84,148.05
_06459_,147.12
reg_pc\[13\],147.04
decoded_imm\[3\],147.02
_02204_,146.98
latched_store,146.82
_02545_,146.64
_07246_,146.33
net231,145.92
_00897_,145.735
_03593_,145.62
decoded_imm\[0\],145.48
_03775_,145.245
_02239_,145.24
_06919_,145.02
_04896_,144.88
_03997_,144.82
_07213_,144.16
net157,144.16
decoded_imm\[2\],143.58
_04066_,143.52
_03295_,143.51
_03481_,143.18
_01632_,143.08
_02306_,143.05
reg_pc\[4\],143.01
_02898_,142.92
_06397_,142.3
decoded_imm_j\[13\],142.205
_01827_,141.82
_06809_,141.56
_03488_,140.83
_02751_,140.62
_02235_,140.6
_00008_,140.56
net166,140.44
_03363_,140.3
_02478_,139.92
_02926_,139.64
_02482_,139.53
_03433_,139.44
net108,139.23
_06706_,138.93
_05647_,138.92
_02178_,138.78
_05529_,138.56
decoded_imm_j\[5\],138.02
clknet_leaf_3_clk,136.735
_02238_,136.295
_05255_,136.08
_02525_,135.96
_00009_,135.945
_02275_,135.87
instr_lb,135.78
